rule_number,lhs,rhs,confidence,lift,leverage,conviction
461,['101=101_1'],['100=100_1'],1.0,1.84,0.15,704.47
463,"['101=101_1', '30=30_0']",['100=100_1'],1.0,1.84,0.15,704.47
465,['101=101_1'],"['100=100_1', '30=30_0']",1.0,1.84,0.15,704.47
485,"['101=101_1', '142=142_1']",['100=100_1'],1.0,1.84,0.14,686.65
487,"['101=101_1', '30=30_0', '142=142_1']",['100=100_1'],1.0,1.84,0.14,686.65
489,"['101=101_1', '142=142_1']","['100=100_1', '30=30_0']",1.0,1.84,0.14,686.65
497,"['97+=97+_1', '101=101_1']",['100=100_1'],1.0,1.84,0.14,681.62
499,"['97+=97+_1', '101=101_1', '30=30_0']",['100=100_1'],1.0,1.84,0.14,681.62
501,"['97+=97+_1', '101=101_1']","['100=100_1', '30=30_0']",1.0,1.84,0.14,681.62
531,['102=102_2'],['100=100_1'],1.0,1.84,0.14,678.42
533,"['30=30_0', '102=102_2']",['100=100_1'],1.0,1.84,0.14,678.42
535,['102=102_2'],"['100=100_1', '30=30_0']",1.0,1.84,0.14,678.42
560,"['97+=97+_1', '101=101_1', '142=142_1']",['100=100_1'],1.0,1.84,0.14,663.81
563,"['97+=97+_1', '101=101_1', '30=30_0', '142=142_1']",['100=100_1'],1.0,1.84,0.14,663.81
565,"['97+=97+_1', '101=101_1', '142=142_1']","['100=100_1', '30=30_0']",1.0,1.84,0.14,663.81
744,['101=101_1'],"['97+=97+_1', '100=100_1']",0.97,1.91,0.15,14.88
748,"['101=101_1', '30=30_0']","['97+=97+_1', '100=100_1']",0.97,1.91,0.15,14.88
750,['101=101_1'],"['97+=97+_1', '100=100_1', '30=30_0']",0.97,1.91,0.15,14.88
765,"['101=101_1', '142=142_1']","['97+=97+_1', '100=100_1']",0.97,1.9,0.14,14.51
769,"['101=101_1', '30=30_0', '142=142_1']","['97+=97+_1', '100=100_1']",0.97,1.9,0.14,14.51
771,"['101=101_1', '142=142_1']","['97+=97+_1', '100=100_1', '30=30_0']",0.97,1.9,0.14,14.51
711,['101=101_1'],"['100=100_1', '142=142_1']",0.97,1.85,0.14,18.24
715,"['101=101_1', '30=30_0']","['100=100_1', '142=142_1']",0.97,1.85,0.14,18.24
717,['101=101_1'],"['100=100_1', '30=30_0', '142=142_1']",0.97,1.85,0.14,18.24
720,"['97+=97+_1', '101=101_1']","['100=100_1', '142=142_1']",0.97,1.85,0.14,17.65
724,"['97+=97+_1', '101=101_1', '30=30_0']","['100=100_1', '142=142_1']",0.97,1.85,0.14,17.65
726,"['97+=97+_1', '101=101_1']","['100=100_1', '30=30_0', '142=142_1']",0.97,1.85,0.14,17.65
1573,['101=101_1'],"['97+=97+_1', '100=100_1', '142=142_1']",0.94,1.92,0.14,8.71
1577,"['101=101_1', '30=30_0']","['97+=97+_1', '100=100_1', '142=142_1']",0.94,1.92,0.14,8.71
1579,['101=101_1'],"['97+=97+_1', '100=100_1', '30=30_0', '142=142_1']",0.94,1.92,0.14,8.71
1700,"['97+=97+_1', '120=120_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.94,1.68,0.15,6.99
1701,"['97+=97+_1', '30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.94,1.68,0.15,6.99
1702,"['97+=97+_1', '120=120_0', '133=133_0']","['96+=96+_1', '132=132_0', '30=30_0']",0.94,1.68,0.15,6.99
1718,"['97+=97+_1', '133=133_0']","['96+=96+_1', '132=132_0']",0.94,1.67,0.2,6.76
1719,"['97+=97+_1', '30=30_0', '133=133_0']","['96+=96+_1', '132=132_0']",0.94,1.67,0.2,6.76
1720,"['97+=97+_1', '133=133_0']","['96+=96+_1', '132=132_0', '30=30_0']",0.94,1.67,0.2,6.76
1712,"['97+=97+_1', '120=120_0', '133=133_0', '142=142_1']","['96+=96+_1', '132=132_0']",0.94,1.67,0.14,6.81
1713,"['97+=97+_1', '30=30_0', '120=120_0', '133=133_0', '142=142_1']","['96+=96+_1', '132=132_0']",0.94,1.67,0.14,6.81
1714,"['97+=97+_1', '120=120_0', '133=133_0', '142=142_1']","['96+=96+_1', '132=132_0', '30=30_0']",0.94,1.67,0.14,6.81
1775,"['96+=96+_1', '133=133_0']","['97+=97+_1', '132=132_0']",0.93,1.67,0.2,6.61
1777,"['96+=96+_1', '30=30_0', '133=133_0']","['97+=97+_1', '132=132_0']",0.93,1.67,0.2,6.61
1778,"['96+=96+_1', '133=133_0']","['97+=97+_1', '132=132_0', '30=30_0']",0.93,1.67,0.2,6.61
1772,"['97+=97+_1', '133=133_0', '142=142_1']","['96+=96+_1', '132=132_0']",0.93,1.67,0.18,6.64
1773,"['97+=97+_1', '30=30_0', '133=133_0', '142=142_1']","['96+=96+_1', '132=132_0']",0.93,1.67,0.18,6.64
1774,"['97+=97+_1', '133=133_0', '142=142_1']","['96+=96+_1', '132=132_0', '30=30_0']",0.93,1.67,0.18,6.64
1799,"['96+=96+_1', '133=133_0', '142=142_1']","['97+=97+_1', '132=132_0']",0.93,1.66,0.18,6.35
1800,"['96+=96+_1', '30=30_0', '133=133_0', '142=142_1']","['97+=97+_1', '132=132_0']",0.93,1.66,0.18,6.35
1801,"['96+=96+_1', '133=133_0', '142=142_1']","['97+=97+_1', '132=132_0', '30=30_0']",0.93,1.66,0.18,6.35
1820,"['96+=96+_1', '120=120_0', '133=133_0']","['97+=97+_1', '132=132_0']",0.93,1.66,0.14,6.21
1821,"['96+=96+_1', '30=30_0', '120=120_0', '133=133_0']","['97+=97+_1', '132=132_0']",0.93,1.66,0.14,6.21
1822,"['96+=96+_1', '120=120_0', '133=133_0']","['97+=97+_1', '132=132_0', '30=30_0']",0.93,1.66,0.14,6.21
1844,"['96+=96+_1', '120=120_0', '133=133_0', '142=142_1']","['97+=97+_1', '132=132_0']",0.93,1.66,0.13,5.89
1845,"['96+=96+_1', '30=30_0', '120=120_0', '133=133_0', '142=142_1']","['97+=97+_1', '132=132_0']",0.93,1.66,0.13,5.89
1846,"['96+=96+_1', '120=120_0', '133=133_0', '142=142_1']","['97+=97+_1', '132=132_0', '30=30_0']",0.93,1.66,0.13,5.89
2617,"['97+=97+_1', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_1']",0.88,1.66,0.18,4.02
2618,"['97+=97+_1', '30=30_0', '133=133_0']","['96+=96+_1', '132=132_0', '142=142_1']",0.88,1.66,0.18,4.02
2619,"['97+=97+_1', '133=133_0']","['96+=96+_1', '132=132_0', '30=30_0', '142=142_1']",0.88,1.66,0.18,4.02
2684,['100=100_0'],['97+=97+_1'],0.88,0.96,-0.01,0.74
2687,"['100=100_0', '30=30_0']",['97+=97+_1'],0.88,0.96,-0.01,0.74
2688,['100=100_0'],"['97+=97+_1', '30=30_0']",0.88,0.96,-0.01,0.74
2808,"['97+=97+_1', '132=132_0']","['96+=96+_1', '133=133_0']",0.87,1.67,0.2,3.67
2809,"['97+=97+_1', '132=132_0', '30=30_0']","['96+=96+_1', '133=133_0']",0.87,1.67,0.2,3.67
2810,"['97+=97+_1', '132=132_0']","['96+=96+_1', '30=30_0', '133=133_0']",0.87,1.67,0.2,3.67
2820,"['96+=96+_1', '132=132_0']","['97+=97+_1', '133=133_0']",0.87,1.67,0.2,3.67
2822,"['96+=96+_1', '132=132_0', '30=30_0']","['97+=97+_1', '133=133_0']",0.87,1.67,0.2,3.67
2823,"['96+=96+_1', '132=132_0']","['97+=97+_1', '30=30_0', '133=133_0']",0.87,1.67,0.2,3.67
2781,"['97+=97+_1', '132=132_0', '120=120_0']","['96+=96+_1', '133=133_0']",0.87,1.67,0.15,3.72
2782,"['97+=97+_1', '132=132_0', '30=30_0', '120=120_0']","['96+=96+_1', '133=133_0']",0.87,1.67,0.15,3.72
2783,"['97+=97+_1', '132=132_0', '120=120_0']","['96+=96+_1', '30=30_0', '133=133_0']",0.87,1.67,0.15,3.72
2726,['101=101_0'],['97+=97+_1'],0.87,0.96,-0.02,0.72
2728,"['101=101_0', '30=30_0']",['97+=97+_1'],0.87,0.96,-0.02,0.72
2729,['101=101_0'],"['97+=97+_1', '30=30_0']",0.87,0.96,-0.02,0.72
2741,"['100=100_0', '142=142_1']",['97+=97+_1'],0.87,0.96,-0.02,0.72
2744,"['100=100_0', '30=30_0', '142=142_1']",['97+=97+_1'],0.87,0.96,-0.02,0.72
2745,"['100=100_0', '142=142_1']","['97+=97+_1', '30=30_0']",0.87,0.96,-0.02,0.72
2787,"['101=101_0', '142=142_1']",['97+=97+_1'],0.87,0.96,-0.02,0.71
2789,"['101=101_0', '30=30_0', '142=142_1']",['97+=97+_1'],0.87,0.96,-0.02,0.71
2790,"['101=101_0', '142=142_1']","['97+=97+_1', '30=30_0']",0.87,0.96,-0.02,0.71
2935,['133=133_2'],['132=132_1'],0.86,2.28,0.17,4.46
2936,"['30=30_0', '133=133_2']",['132=132_1'],0.86,2.28,0.17,4.46
2937,['133=133_2'],"['132=132_1', '30=30_0']",0.86,2.28,0.17,4.46
3166,"['102=102_0', '142=142_1']","['96+=96+_1', '97+=97+_1']",0.85,0.97,-0.01,0.86
3167,"['30=30_0', '102=102_0', '142=142_1']","['96+=96+_1', '97+=97+_1']",0.85,0.97,-0.01,0.86
3168,"['102=102_0', '142=142_1']","['96+=96+_1', '97+=97+_1', '30=30_0']",0.85,0.97,-0.01,0.86
3196,['100=100_0'],"['96+=96+_1', '97+=97+_1']",0.84,0.97,-0.01,0.84
3199,"['100=100_0', '30=30_0']","['96+=96+_1', '97+=97+_1']",0.84,0.97,-0.01,0.84
3200,['100=100_0'],"['96+=96+_1', '97+=97+_1', '30=30_0']",0.84,0.97,-0.01,0.84
3241,['101=101_0'],"['96+=96+_1', '97+=97+_1']",0.84,0.97,-0.01,0.83
3243,"['101=101_0', '30=30_0']","['96+=96+_1', '97+=97+_1']",0.84,0.97,-0.01,0.83
3244,['101=101_0'],"['96+=96+_1', '97+=97+_1', '30=30_0']",0.84,0.97,-0.01,0.83
3169,"['120=120_0', '133=133_0']","['97+=97+_1', '142=142_1']",0.84,0.97,-0.01,0.82
3170,"['30=30_0', '120=120_0', '133=133_0']","['97+=97+_1', '142=142_1']",0.84,0.97,-0.01,0.82
3171,"['120=120_0', '133=133_0']","['97+=97+_1', '30=30_0', '142=142_1']",0.84,0.97,-0.01,0.82
3259,"['100=100_0', '142=142_1']","['96+=96+_1', '97+=97+_1']",0.84,0.97,-0.01,0.82
3262,"['100=100_0', '30=30_0', '142=142_1']","['96+=96+_1', '97+=97+_1']",0.84,0.97,-0.01,0.82
3263,"['100=100_0', '142=142_1']","['96+=96+_1', '97+=97+_1', '30=30_0']",0.84,0.97,-0.01,0.82
3181,"['132=132_0', '120=120_0', '133=133_0']","['97+=97+_1', '142=142_1']",0.84,0.97,-0.01,0.81
3182,"['132=132_0', '30=30_0', '120=120_0', '133=133_0']","['97+=97+_1', '142=142_1']",0.84,0.97,-0.01,0.81
3183,"['132=132_0', '120=120_0', '133=133_0']","['97+=97+_1', '30=30_0', '142=142_1']",0.84,0.97,-0.01,0.81
3229,"['132=132_0', '124=124_0']","['97+=97+_1', '142=142_1']",0.84,0.97,-0.01,0.8
3230,"['132=132_0', '30=30_0', '124=124_0']","['97+=97+_1', '142=142_1']",0.84,0.97,-0.01,0.8
3231,"['132=132_0', '124=124_0']","['97+=97+_1', '30=30_0', '142=142_1']",0.84,0.97,-0.01,0.8
3304,"['101=101_0', '142=142_1']","['96+=96+_1', '97+=97+_1']",0.84,0.96,-0.01,0.81
3306,"['101=101_0', '30=30_0', '142=142_1']","['96+=96+_1', '97+=97+_1']",0.84,0.96,-0.01,0.81
3307,"['101=101_0', '142=142_1']","['96+=96+_1', '97+=97+_1', '30=30_0']",0.84,0.96,-0.01,0.81
3232,"['102=102_0', '120=120_0']","['97+=97+_1', '142=142_1']",0.84,0.96,-0.01,0.8
3233,"['30=30_0', '102=102_0', '120=120_0']","['97+=97+_1', '142=142_1']",0.84,0.96,-0.01,0.8
3234,"['102=102_0', '120=120_0']","['97+=97+_1', '30=30_0', '142=142_1']",0.84,0.96,-0.01,0.8
3175,"['132=132_0', '124=124_0']","['96+=96+_1', '142=142_1']",0.84,0.96,-0.01,0.79
3176,"['132=132_0', '30=30_0', '124=124_0']","['96+=96+_1', '142=142_1']",0.84,0.96,-0.01,0.79
3177,"['132=132_0', '124=124_0']","['96+=96+_1', '30=30_0', '142=142_1']",0.84,0.96,-0.01,0.79
3319,['100=100_0'],"['97+=97+_1', '142=142_1']",0.83,0.96,-0.02,0.76
3322,"['100=100_0', '30=30_0']","['97+=97+_1', '142=142_1']",0.83,0.96,-0.02,0.76
3323,['100=100_0'],"['97+=97+_1', '30=30_0', '142=142_1']",0.83,0.96,-0.02,0.76
3359,['101=101_0'],"['97+=97+_1', '142=142_1']",0.83,0.95,-0.02,0.75
3361,"['101=101_0', '30=30_0']","['97+=97+_1', '142=142_1']",0.83,0.95,-0.02,0.75
3362,['101=101_0'],"['97+=97+_1', '30=30_0', '142=142_1']",0.83,0.95,-0.02,0.75
3443,"['96+=96+_1', '132=132_0']","['97+=97+_1', '133=133_0', '142=142_1']",0.82,1.67,0.18,2.85
3444,"['96+=96+_1', '132=132_0', '30=30_0']","['97+=97+_1', '133=133_0', '142=142_1']",0.82,1.67,0.18,2.85
3445,"['96+=96+_1', '132=132_0']","['97+=97+_1', '30=30_0', '133=133_0', '142=142_1']",0.82,1.67,0.18,2.85
3503,"['120=120_0', '124=124_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.88
3504,"['30=30_0', '120=120_0', '124=124_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.88
3505,"['120=120_0', '124=124_0']","['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.81,0.97,-0.01,0.88
3506,['133=133_0'],"['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.88
3507,"['30=30_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.88
3508,['133=133_0'],"['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.81,0.97,-0.01,0.88
3509,"['132=132_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.88
3510,"['132=132_0', '30=30_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.88
3511,"['132=132_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.81,0.97,-0.01,0.88
3512,['102=102_0'],"['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.87
3513,"['30=30_0', '102=102_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.87
3514,['102=102_0'],"['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.81,0.97,-0.01,0.87
3527,"['132=132_0', '120=120_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.87
3528,"['132=132_0', '30=30_0', '120=120_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.87
3529,"['132=132_0', '120=120_0']","['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.81,0.97,-0.01,0.87
3530,"['102=102_0', '120=120_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.86
3531,"['30=30_0', '102=102_0', '120=120_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.81,0.97,-0.01,0.86
3532,"['102=102_0', '120=120_0']","['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.81,0.97,-0.01,0.86
3542,['132=132_1'],['133=133_2'],0.8,2.28,0.17,3.29
3543,"['132=132_1', '30=30_0']",['133=133_2'],0.8,2.28,0.17,3.29
3544,['132=132_1'],"['30=30_0', '133=133_2']",0.8,2.28,0.17,3.29
3536,"['120=120_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.8,0.97,-0.01,0.85
3537,"['30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.8,0.97,-0.01,0.85
3538,"['120=120_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.8,0.97,-0.01,0.85
3545,"['132=132_0', '120=120_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.8,0.96,-0.01,0.84
3546,"['132=132_0', '30=30_0', '120=120_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.8,0.96,-0.01,0.84
3547,"['132=132_0', '120=120_0', '133=133_0']","['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.8,0.96,-0.01,0.84
3548,['100=100_0'],"['96+=96+_1', '97+=97+_1', '142=142_1']",0.8,0.96,-0.01,0.84
3551,"['100=100_0', '30=30_0']","['96+=96+_1', '97+=97+_1', '142=142_1']",0.8,0.96,-0.01,0.84
3552,['100=100_0'],"['96+=96+_1', '97+=97+_1', '30=30_0', '142=142_1']",0.8,0.96,-0.01,0.84
